date,bp_used_usd,bp_pct_account,open_positions,regime,vix,cumulative_equity,drawdown
2007-02-28,0,0.0,0,NORMAL,15.42,108934.42,-0.0402
2007-03-01,0,0.0,0,NORMAL,15.82,108934.42,-0.0402
2007-03-02,0,0.0,0,NORMAL,18.61,108934.42,-0.0402
2007-03-05,0,0.0,0,NORMAL,19.63,108934.42,-0.0402
2007-03-06,0,0.0,0,NORMAL,15.96,108934.42,-0.0402
2007-03-07,0,0.0,0,NORMAL,15.24,108934.42,-0.0402
2007-03-08,0,0.0,0,LOW_VOL,14.29,108934.42,-0.0402
2007-03-09,0,0.0,0,LOW_VOL,14.09,108934.42,-0.0402
2007-03-12,0,0.0,0,LOW_VOL,13.99,108934.42,-0.0402
2007-03-13,22500.0,20.65,1,NORMAL,18.13,108934.42,-0.0402
2007-03-14,22500.0,20.53,1,NORMAL,17.27,109575.13,-0.0345
2007-03-15,22500.0,20.42,1,NORMAL,16.43,110190.85,-0.0291
2007-03-16,22500.0,20.43,1,NORMAL,16.79,110156.12,-0.0294
2007-03-19,22500.0,20.2,1,LOW_VOL,14.59,111411.53,-0.0184
2007-03-20,22500.0,20.09,1,LOW_VOL,13.27,112011.46,-0.0131
2007-03-21,22500.0,20.22,1,LOW_VOL,12.19,111287.57,-0.0195
2007-03-22,22500.0,20.27,1,LOW_VOL,12.93,111018.91,-0.0218
2007-03-23,22500.0,20.27,1,LOW_VOL,12.95,111001.63,-0.022
2007-03-26,22500.0,20.29,1,LOW_VOL,13.16,110894.14,-0.0229
2007-03-27,22500.0,20.18,1,LOW_VOL,13.48,111492.72,-0.0177
2007-03-28,22500.0,20.19,1,LOW_VOL,14.98,111460.56,-0.0179
2007-03-29,22500.0,20.23,1,NORMAL,15.14,111226.81,-0.02
2007-03-30,22500.0,20.14,1,LOW_VOL,14.64,111724.11,-0.0156
2007-04-02,22500.0,20.14,1,LOW_VOL,14.53,111705.45,-0.0158
2007-04-03,22500.0,20.19,1,LOW_VOL,13.46,111468.79,-0.0179
2007-04-04,22500.0,20.16,1,LOW_VOL,13.24,111584.3,-0.0168
2007-04-05,22500.0,20.2,1,LOW_VOL,13.23,111359.09,-0.0188
2007-04-09,22500.0,20.19,1,LOW_VOL,13.14,111468.67,-0.0179
2007-04-10,22500.0,20.18,1,LOW_VOL,12.68,111496.95,-0.0176
2007-04-11,22500.0,20.08,1,LOW_VOL,13.49,112056.26,-0.0127
2007-04-12,22500.0,20.12,1,LOW_VOL,12.71,111828.08,-0.0147
2007-04-13,22500.0,20.13,1,LOW_VOL,12.2,111759.02,-0.0153
2007-04-16,22500.0,20.4,1,LOW_VOL,11.98,110298.08,-0.0282
2007-04-17,22500.0,20.21,1,LOW_VOL,12.14,111339.97,-0.019
2007-04-18,22500.0,20.16,1,LOW_VOL,12.42,111589.66,-0.0168
2007-04-19,22500.0,20.2,1,LOW_VOL,12.54,111360.73,-0.0188
2007-04-20,22500.0,19.86,1,LOW_VOL,12.07,113301.98,-0.0017
2007-04-23,22500.0,19.9,1,LOW_VOL,13.04,113052.17,-0.0039
2007-04-24,22500.0,19.91,1,LOW_VOL,13.12,113014.83,-0.0042
2007-04-25,22500.0,19.54,1,LOW_VOL,13.21,115163.92,0.0
2007-04-26,22500.0,19.57,1,LOW_VOL,12.79,114971.98,-0.0017
2007-04-27,22500.0,19.58,1,LOW_VOL,12.45,114925.27,-0.0021
2007-04-30,22500.0,19.79,1,LOW_VOL,14.22,113708.81,-0.0126
2007-05-01,22500.0,19.72,1,LOW_VOL,13.51,114088.24,-0.0093
2007-05-02,22500.0,19.5,1,LOW_VOL,13.08,115405.02,0.0
2007-05-03,22500.0,19.34,1,LOW_VOL,13.09,116352.19,0.0
2007-05-04,22500.0,19.26,1,LOW_VOL,12.91,116825.34,0.0
2007-05-07,22500.0,19.16,1,LOW_VOL,13.15,117419.23,0.0
2007-05-08,22500.0,19.19,1,LOW_VOL,13.21,117257.86,-0.0014
2007-05-09,22500.0,19.08,1,LOW_VOL,12.88,117941.38,0.0
2007-05-10,22500.0,19.54,1,LOW_VOL,13.6,115132.88,-0.0238
2007-05-11,22500.0,19.2,1,LOW_VOL,12.95,117169.2,-0.0065
2007-05-14,22500.0,19.23,1,LOW_VOL,13.96,117022.8,-0.0078
2007-05-15,22500.0,19.26,1,LOW_VOL,14.01,116830.86,-0.0094
2007-05-16,22500.0,18.97,1,LOW_VOL,13.5,118596.33,0.0
2007-05-17,22500.0,18.99,1,LOW_VOL,13.51,118506.22,-0.0008
2007-05-18,22500.0,18.77,1,LOW_VOL,12.76,119844.01,0.0
2007-05-21,22500.0,17.47,1,LOW_VOL,13.3,128756.46,0.0
2007-05-22,22500.0,17.5,1,LOW_VOL,13.06,128541.62,-0.0017
2007-05-23,22500.0,17.53,1,LOW_VOL,13.24,128341.09,-0.0032
2007-05-24,22500.0,17.77,1,LOW_VOL,14.08,126619.59,-0.0166
2007-05-25,22500.0,17.66,1,LOW_VOL,13.34,127429.57,-0.0103
2007-05-29,22500.0,17.6,1,LOW_VOL,13.53,127841.58,-0.0071
2007-05-30,22500.0,17.4,1,LOW_VOL,12.83,129344.48,0.0
2007-05-31,22500.0,17.38,1,LOW_VOL,13.05,129472.78,0.0
2007-06-01,22500.0,17.28,1,LOW_VOL,12.78,130239.53,0.0
2007-06-04,22500.0,17.2,1,LOW_VOL,13.29,130789.79,0.0
2007-06-05,22500.0,17.34,1,LOW_VOL,13.63,129727.77,-0.0081
2007-06-06,22500.0,17.54,1,LOW_VOL,14.87,128287.63,-0.0191
2007-06-07,22500.0,17.88,1,NORMAL,17.06,125821.09,-0.038
2007-06-08,22500.0,17.74,1,LOW_VOL,14.84,126860.46,-0.03
2007-06-11,22500.0,17.72,1,LOW_VOL,14.71,126985.4,-0.0291
2007-06-12,22500.0,17.88,1,NORMAL,16.67,125811.26,-0.0381
2007-06-13,22500.0,17.59,1,LOW_VOL,14.73,127949.92,-0.0217
2007-06-14,22500.0,17.5,1,LOW_VOL,13.64,128542.24,-0.0172
2007-06-15,22500.0,17.28,1,LOW_VOL,13.94,130233.06,-0.0043
2007-06-18,22500.0,17.34,1,LOW_VOL,13.42,129749.37,-0.008
2007-06-19,22500.0,17.31,1,LOW_VOL,12.85,129970.91,-0.0063
2007-06-20,22500.0,17.66,1,LOW_VOL,14.67,127409.64,-0.0258
2007-06-21,22500.0,17.49,1,LOW_VOL,14.21,128670.22,-0.0162
2007-06-22,45000.0,35.6,2,NORMAL,15.75,126388.36,-0.0337
2007-06-25,22500.0,18.25,1,NORMAL,16.65,123277.04,-0.0574
2007-06-26,22500.0,18.47,1,NORMAL,18.89,121808.73,-0.0687
2007-06-27,22500.0,18.08,1,NORMAL,15.53,124418.25,-0.0487
2007-06-28,22500.0,18.06,1,NORMAL,15.54,124554.24,-0.0477
2007-06-29,22500.0,18.12,1,NORMAL,16.23,124182.5,-0.0505
2007-07-02,22500.0,18.03,1,NORMAL,15.4,124813.02,-0.0457
2007-07-03,22500.0,17.97,1,LOW_VOL,14.92,125191.45,-0.0428
2007-07-05,22500.0,18.01,1,NORMAL,15.48,124923.73,-0.0449
2007-07-06,22500.0,17.93,1,LOW_VOL,14.72,125464.2,-0.0407
2007-07-09,22500.0,17.96,1,NORMAL,15.16,125261.04,-0.0423
2007-07-10,22500.0,18.12,1,NORMAL,17.57,124191.61,-0.0504
2007-07-11,22500.0,18.01,1,NORMAL,16.64,124918.27,-0.0449
2007-07-12,22500.0,18.04,1,NORMAL,15.54,124745.63,-0.0462
2007-07-13,22500.0,18.02,1,NORMAL,15.15,124851.4,-0.0454
2007-07-16,22500.0,18.01,1,NORMAL,15.59,124945.66,-0.0447
2007-07-17,22500.0,17.98,1,NORMAL,15.63,125105.75,-0.0435
2007-07-18,22500.0,17.96,1,NORMAL,16.0,125255.31,-0.0423
2007-07-19,22500.0,17.94,1,NORMAL,15.23,125451.43,-0.0408
2007-07-20,22500.0,17.91,1,NORMAL,16.95,125645.49,-0.0393
2007-07-23,22500.0,17.91,1,NORMAL,16.81,125609.72,-0.0396
2007-07-24,22500.0,17.92,1,NORMAL,18.55,125576.21,-0.0399
2007-07-25,22500.0,17.85,1,NORMAL,18.1,126021.45,-0.0365
2007-07-26,22500.0,18.1,1,NORMAL,20.74,124300.72,-0.0496
2007-07-27,0,0.0,0,HIGH_VOL,24.17,122290.64,-0.065
2007-07-30,0,0.0,0,NORMAL,20.87,122290.64,-0.065
2007-07-31,0,0.0,0,HIGH_VOL,23.52,122290.64,-0.065
2007-08-01,0,0.0,0,HIGH_VOL,23.67,122290.64,-0.065
2007-08-02,0,0.0,0,NORMAL,21.22,122290.64,-0.065
2007-08-03,0,0.0,0,HIGH_VOL,25.16,122290.64,-0.065
2007-08-06,0,0.0,0,HIGH_VOL,22.94,122290.64,-0.065
2007-08-07,0,0.0,0,NORMAL,21.56,122290.64,-0.065
2007-08-08,22500.0,18.4,1,NORMAL,21.45,122290.64,-0.065
2007-08-09,22500.0,18.8,1,HIGH_VOL,26.48,119680.96,-0.0849
2007-08-10,22500.0,18.89,1,HIGH_VOL,28.3,119097.88,-0.0894
2007-08-13,22500.0,18.77,1,HIGH_VOL,26.57,119877.07,-0.0834
2007-08-14,22500.0,18.91,1,HIGH_VOL,27.68,119003.91,-0.0901
2007-08-15,22500.0,19.12,1,HIGH_VOL,30.67,117677.05,-0.1003
2007-08-16,22500.0,19.09,1,HIGH_VOL,30.83,117852.3,-0.0989
2007-08-17,22500.0,18.91,1,HIGH_VOL,29.99,118990.48,-0.0902
2007-08-20,43500.0,36.12,2,HIGH_VOL,26.33,120433.95,-0.0792
2007-08-21,64500.0,53.18,3,HIGH_VOL,25.25,121291.32,-0.0726
2007-08-22,64500.0,52.16,3,HIGH_VOL,22.89,123648.01,-0.0546
2007-08-23,64500.0,51.96,3,HIGH_VOL,22.62,124128.73,-0.0509
2007-08-24,64500.0,51.19,3,NORMAL,20.72,125998.92,-0.0366
2007-08-27,64500.0,51.77,3,HIGH_VOL,22.72,124579.32,-0.0475
2007-08-28,64500.0,53.09,3,HIGH_VOL,26.3,121482.62,-0.0712
2007-08-29,64500.0,51.93,3,HIGH_VOL,23.81,124216.31,-0.0503
2007-08-30,64500.0,52.24,3,HIGH_VOL,25.06,123463.05,-0.056
2007-08-31,64500.0,51.53,3,HIGH_VOL,23.38,125159.64,-0.043
2007-09-04,64500.0,51.28,3,HIGH_VOL,22.78,125777.79,-0.0383
2007-09-05,64500.0,51.67,3,HIGH_VOL,24.58,124831.8,-0.0456
2007-09-06,64500.0,51.36,3,HIGH_VOL,23.99,125590.45,-0.0398
2007-09-07,64500.0,51.98,3,HIGH_VOL,26.23,124081.72,-0.0513
2007-09-10,64500.0,52.19,3,HIGH_VOL,27.38,123582.97,-0.0551
2007-09-11,64500.0,51.33,3,HIGH_VOL,25.27,125659.07,-0.0392
2007-09-12,42000.0,32.85,2,HIGH_VOL,24.96,127854.71,-0.0224
2007-09-13,42000.0,32.87,2,HIGH_VOL,24.76,127793.84,-0.0229
2007-09-14,42000.0,32.84,2,HIGH_VOL,24.92,127887.44,-0.0222
2007-09-17,42000.0,32.89,2,HIGH_VOL,26.48,127716.26,-0.0235
2007-09-18,21000.0,16.2,1,NORMAL,20.35,129600.66,-0.0091
2007-09-19,21000.0,16.21,1,NORMAL,20.03,129543.59,-0.0095
2007-09-20,0,0.0,0,NORMAL,20.45,130924.43,0.0
2007-09-21,0,0.0,0,NORMAL,19.0,130924.43,0.0
2007-09-24,0,0.0,0,NORMAL,19.37,130924.43,0.0
2007-09-25,0,0.0,0,NORMAL,18.6,130924.43,0.0
2007-09-26,0,0.0,0,NORMAL,17.63,130924.43,0.0
2007-09-27,0,0.0,0,NORMAL,17.0,130924.43,0.0
2007-09-28,0,0.0,0,NORMAL,18.0,130924.43,0.0
2007-10-01,0,0.0,0,NORMAL,17.84,130924.43,0.0
2007-10-02,0,0.0,0,NORMAL,18.49,130924.43,0.0
2007-10-03,0,0.0,0,NORMAL,18.8,130924.43,0.0
2007-10-04,0,0.0,0,NORMAL,18.44,130924.43,0.0
2007-10-05,0,0.0,0,NORMAL,16.91,130924.43,0.0
2007-10-08,0,0.0,0,NORMAL,17.46,130924.43,0.0
2007-10-09,0,0.0,0,NORMAL,16.12,130924.43,0.0
2007-10-10,0,0.0,0,NORMAL,16.67,130924.43,0.0
2007-10-11,0,0.0,0,NORMAL,18.88,130924.43,0.0
2007-10-12,0,0.0,0,NORMAL,17.73,130924.43,0.0
2007-10-15,0,0.0,0,NORMAL,19.25,130924.43,0.0
2007-10-16,0,0.0,0,NORMAL,20.02,130924.43,0.0
2007-10-17,0,0.0,0,NORMAL,18.54,130924.43,0.0
2007-10-18,0,0.0,0,NORMAL,18.5,130924.43,0.0
2007-10-19,0,0.0,0,HIGH_VOL,22.96,130924.43,0.0
2007-10-22,0,0.0,0,NORMAL,21.64,130924.43,0.0
2007-10-23,0,0.0,0,NORMAL,20.41,130924.43,0.0
2007-10-24,0,0.0,0,NORMAL,20.8,130924.43,0.0
2007-10-25,0,0.0,0,NORMAL,21.17,130924.43,0.0
2007-10-26,0,0.0,0,NORMAL,19.56,130924.43,0.0
2007-10-29,0,0.0,0,NORMAL,19.87,130924.43,0.0
2007-10-30,0,0.0,0,NORMAL,21.07,130924.43,0.0
2007-10-31,0,0.0,0,NORMAL,18.53,130924.43,0.0
2007-11-01,0,0.0,0,HIGH_VOL,23.21,130924.43,0.0
2007-11-02,21000.0,16.04,1,HIGH_VOL,23.01,130924.43,0.0
2007-11-05,21000.0,16.1,1,HIGH_VOL,24.31,130445.94,-0.0037
2007-11-06,21000.0,15.92,1,NORMAL,21.39,131889.84,0.0
2007-11-07,21000.0,16.21,1,HIGH_VOL,26.49,129556.74,-0.0177
2007-11-08,21000.0,16.18,1,HIGH_VOL,26.16,129792.49,-0.0159
2007-11-09,21000.0,16.32,1,HIGH_VOL,28.5,128693.23,-0.0242
2007-11-12,21000.0,16.45,1,HIGH_VOL,31.09,127696.43,-0.0318
2007-11-13,42000.0,32.04,2,HIGH_VOL,24.1,131081.18,-0.0061
2007-11-14,42000.0,32.3,2,HIGH_VOL,25.94,130019.19,-0.0142
2007-11-15,42000.0,32.64,2,HIGH_VOL,28.06,128684.4,-0.0243
2007-11-16,42000.0,32.19,2,HIGH_VOL,25.49,130460.37,-0.0108
2007-11-19,42000.0,32.42,2,HIGH_VOL,26.01,129551.93,-0.0177
2007-11-20,42000.0,32.18,2,HIGH_VOL,24.88,130529.75,-0.0103
2007-11-21,42000.0,32.62,2,HIGH_VOL,26.84,128746.92,-0.0238
2007-11-23,42000.0,32.17,2,HIGH_VOL,25.61,130549.46,-0.0102
2007-11-26,42000.0,32.87,2,HIGH_VOL,28.91,127762.25,-0.0313
2007-11-27,42000.0,32.3,2,HIGH_VOL,26.28,130019.47,-0.0142
2007-11-28,42000.0,31.61,2,HIGH_VOL,24.11,132869.81,0.0
2007-11-29,42000.0,31.54,2,HIGH_VOL,23.97,133171.0,0.0
2007-11-30,42000.0,31.29,2,HIGH_VOL,22.87,134233.8,0.0
2007-12-03,42000.0,31.38,2,HIGH_VOL,23.61,133852.44,-0.0028
2007-12-04,42000.0,31.42,2,HIGH_VOL,23.79,133658.49,-0.0043
2007-12-05,42000.0,31.09,2,HIGH_VOL,22.53,135110.21,0.0
2007-12-06,22500.0,16.02,1,NORMAL,20.96,140445.77,0.0
2007-12-07,22500.0,16.0,1,NORMAL,20.85,140632.26,0.0
2007-12-10,22500.0,15.98,1,NORMAL,20.74,140806.98,0.0
2007-12-11,43500.0,31.25,2,HIGH_VOL,23.59,139210.84,-0.0113
2007-12-12,64500.0,45.87,3,HIGH_VOL,22.47,140628.07,-0.0013
2007-12-13,64500.0,45.78,3,HIGH_VOL,22.56,140888.63,0.0
2007-12-14,64500.0,46.15,3,HIGH_VOL,23.27,139767.56,-0.008
2007-12-17,64500.0,46.99,3,HIGH_VOL,24.52,137269.61,-0.0257
2007-12-18,64500.0,45.87,3,HIGH_VOL,22.64,140604.37,-0.002
2007-12-19,64500.0,45.41,3,NORMAL,21.68,142034.82,0.0
2007-12-20,64500.0,44.68,3,NORMAL,20.58,144352.84,0.0
2007-12-21,64500.0,43.35,3,NORMAL,18.47,148799.65,0.0
2007-12-24,64500.0,43.24,3,NORMAL,18.6,149163.77,0.0
2007-12-26,43500.0,28.51,2,NORMAL,18.66,152582.21,0.0
2007-12-27,43500.0,28.84,2,NORMAL,20.26,150811.28,-0.0116
2007-12-28,43500.0,28.86,2,NORMAL,20.74,150746.4,-0.012
2007-12-31,64500.0,43.27,3,HIGH_VOL,22.5,149051.28,-0.0231
2008-01-02,64500.0,43.86,3,HIGH_VOL,23.17,147071.75,-0.0361
2008-01-03,64500.0,43.5,3,HIGH_VOL,22.49,148269.42,-0.0283
2008-01-04,64500.0,45.24,3,HIGH_VOL,23.94,142573.82,-0.0656
2008-01-07,64500.0,44.89,3,HIGH_VOL,23.79,143700.06,-0.0582
2008-01-08,64500.0,46.6,3,HIGH_VOL,25.43,138408.29,-0.0929
2008-01-09,64500.0,45.14,3,HIGH_VOL,24.12,142904.05,-0.0634
2008-01-10,64500.0,44.29,3,HIGH_VOL,23.45,145639.21,-0.0455
2008-01-11,42000.0,29.75,2,HIGH_VOL,23.68,141200.19,-0.0746
2008-01-14,42000.0,29.29,2,HIGH_VOL,22.9,143417.85,-0.0601
2008-01-15,42000.0,30.14,2,HIGH_VOL,23.34,139361.07,-0.0866
2008-01-16,42000.0,30.43,2,HIGH_VOL,24.38,138027.77,-0.0954
2008-01-17,21000.0,16.27,1,HIGH_VOL,28.46,129091.28,-0.154
2008-01-18,21000.0,16.31,1,HIGH_VOL,27.18,128786.79,-0.156
2008-01-22,21000.0,16.45,1,HIGH_VOL,31.01,127697.64,-0.1631
2008-01-23,21000.0,16.22,1,HIGH_VOL,29.02,129440.03,-0.1517
2008-01-24,42000.0,32.2,2,HIGH_VOL,27.78,130435.96,-0.1451
2008-01-25,42000.0,32.56,2,HIGH_VOL,29.08,129005.48,-0.1545
2008-01-28,42000.0,32.11,2,HIGH_VOL,27.78,130783.77,-0.1429
2008-01-29,42000.0,31.93,2,HIGH_VOL,27.32,131517.47,-0.1381
2008-01-30,42000.0,32.01,2,HIGH_VOL,27.62,131201.36,-0.1401
2008-01-31,42000.0,31.56,2,HIGH_VOL,26.2,133090.54,-0.1277
2008-02-01,42000.0,31.11,2,HIGH_VOL,24.02,135019.7,-0.1151
2008-02-04,42000.0,31.43,2,HIGH_VOL,25.99,133643.37,-0.1241
2008-02-05,21000.0,16.26,1,HIGH_VOL,28.24,129150.85,-0.1536
2008-02-06,21000.0,16.26,1,HIGH_VOL,28.97,129119.67,-0.1538
2008-02-07,21000.0,16.23,1,HIGH_VOL,27.66,129368.76,-0.1521
2008-02-08,21000.0,16.23,1,HIGH_VOL,28.01,129385.81,-0.152
2008-02-11,21000.0,16.22,1,HIGH_VOL,27.6,129497.86,-0.1513
2008-02-12,21000.0,16.19,1,HIGH_VOL,26.33,129721.76,-0.1498
2008-02-13,21000.0,16.17,1,HIGH_VOL,24.88,129904.54,-0.1486
2008-02-14,0,0.0,0,HIGH_VOL,25.54,131214.92,-0.14
2008-02-15,0,0.0,0,HIGH_VOL,25.02,131214.92,-0.14
2008-02-19,0,0.0,0,HIGH_VOL,25.59,131214.92,-0.14
2008-02-20,0,0.0,0,HIGH_VOL,24.4,131214.92,-0.14
2008-02-21,0,0.0,0,HIGH_VOL,25.12,131214.92,-0.14
2008-02-22,0,0.0,0,HIGH_VOL,24.06,131214.92,-0.14
2008-02-25,0,0.0,0,HIGH_VOL,23.03,131214.92,-0.14
2008-02-26,0,0.0,0,NORMAL,21.9,131214.92,-0.14
2008-02-27,21000.0,16.0,1,HIGH_VOL,22.69,131214.92,-0.14
2008-02-28,21000.0,15.97,1,HIGH_VOL,23.53,131531.41,-0.138
2008-02-29,21000.0,15.9,1,HIGH_VOL,26.54,132107.05,-0.1342
2008-03-03,21000.0,15.89,1,HIGH_VOL,26.28,132194.99,-0.1336
2008-03-04,21000.0,15.85,1,HIGH_VOL,25.52,132500.63,-0.1316
2008-03-05,21000.0,15.84,1,HIGH_VOL,24.6,132553.03,-0.1313
2008-03-06,21000.0,15.82,1,HIGH_VOL,27.55,132781.52,-0.1298
2008-03-07,21000.0,15.78,1,HIGH_VOL,27.49,133049.22,-0.128
2008-03-10,21000.0,15.77,1,HIGH_VOL,29.38,133187.01,-0.1271
2008-03-11,42000.0,31.63,2,HIGH_VOL,26.36,132800.7,-0.1296
2008-03-12,42000.0,31.59,2,HIGH_VOL,27.22,132950.94,-0.1287
2008-03-13,42000.0,31.61,2,HIGH_VOL,27.29,132872.94,-0.1292
2008-03-14,42000.0,31.72,2,HIGH_VOL,31.16,132418.25,-0.1322
2008-03-17,21000.0,15.65,1,HIGH_VOL,32.24,134199.73,-0.1205
2008-03-18,42000.0,31.07,2,HIGH_VOL,25.79,135171.58,-0.1141
2008-03-19,42000.0,31.31,2,HIGH_VOL,29.84,134128.94,-0.1209
2008-03-20,42000.0,31.08,2,HIGH_VOL,26.62,135120.06,-0.1144
2008-03-24,42000.0,31.07,2,HIGH_VOL,25.73,135156.9,-0.1142
2008-03-25,42000.0,31.06,2,HIGH_VOL,25.72,135217.5,-0.1138
2008-03-26,42000.0,30.99,2,HIGH_VOL,26.08,135527.88,-0.1118
2008-03-27,42000.0,30.88,2,HIGH_VOL,25.88,136022.52,-0.1085
2008-03-28,42000.0,30.81,2,HIGH_VOL,25.71,136316.48,-0.1066
2008-03-31,42000.0,30.79,2,HIGH_VOL,25.61,136422.8,-0.1059
2008-04-01,42000.0,30.74,2,HIGH_VOL,22.68,136626.3,-0.1046
2008-04-02,42000.0,30.75,2,HIGH_VOL,23.43,136569.4,-0.1049
2008-04-03,42000.0,30.72,2,HIGH_VOL,23.21,136735.74,-0.1039
2008-04-04,42000.0,30.63,2,HIGH_VOL,22.45,137108.25,-0.1014
2008-04-07,42000.0,30.62,2,HIGH_VOL,22.42,137186.01,-0.1009
2008-04-08,21000.0,15.13,1,HIGH_VOL,22.36,138839.13,-0.0901
2008-04-09,0,0.0,0,HIGH_VOL,22.81,140185.66,-0.0812
2008-04-10,22500.0,16.05,1,NORMAL,21.98,140185.66,-0.0812
2008-04-11,43500.0,31.7,2,HIGH_VOL,23.46,137215.66,-0.1007
2008-04-14,64500.0,47.19,3,HIGH_VOL,23.82,136686.28,-0.1042
2008-04-15,64500.0,46.64,3,HIGH_VOL,22.78,138293.8,-0.0936
2008-04-16,64500.0,45.34,3,NORMAL,20.53,142265.63,-0.0676
2008-04-17,64500.0,45.18,3,NORMAL,20.37,142763.9,-0.0643
2008-04-18,64500.0,45.04,3,NORMAL,20.13,143194.07,-0.0615
2008-04-21,64500.0,45.04,3,NORMAL,20.5,143207.16,-0.0614
2008-04-22,64500.0,45.0,3,NORMAL,20.87,143337.26,-0.0606
2008-04-23,42000.0,28.58,2,NORMAL,20.26,146947.92,-0.0369
2008-04-24,42000.0,28.68,2,NORMAL,20.06,146465.71,-0.0401
2008-04-25,42000.0,28.76,2,NORMAL,19.59,146042.38,-0.0429
2008-04-28,42000.0,28.69,2,NORMAL,19.64,146376.89,-0.0407
2008-04-29,42000.0,28.62,2,NORMAL,20.24,146771.15,-0.0381
2008-04-30,42000.0,28.54,2,NORMAL,20.79,147160.37,-0.0355
2008-05-01,42000.0,28.77,2,NORMAL,18.88,145974.59,-0.0433
2008-05-02,42000.0,28.76,2,NORMAL,18.18,146032.72,-0.0429
2008-05-05,42000.0,28.64,2,NORMAL,18.9,146640.35,-0.0389
2008-05-06,42000.0,28.79,2,NORMAL,18.21,145861.65,-0.044
2008-05-07,42000.0,28.32,2,NORMAL,19.73,148297.72,-0.0281
2008-05-08,42000.0,28.34,2,NORMAL,19.4,148197.69,-0.0287
2008-05-09,42000.0,28.11,2,NORMAL,19.41,149396.61,-0.0209
2008-05-12,42000.0,28.19,2,NORMAL,17.79,148988.98,-0.0235
2008-05-13,21000.0,13.78,1,NORMAL,17.98,152393.18,-0.0012
2008-05-14,21000.0,13.79,1,NORMAL,17.66,152233.88,-0.0023
2008-05-15,21000.0,13.85,1,NORMAL,16.3,151638.17,-0.0062
2008-05-16,0,0.0,0,NORMAL,16.47,150533.72,-0.0134
2008-05-19,0,0.0,0,NORMAL,17.01,150533.72,-0.0134
2008-05-20,0,0.0,0,NORMAL,17.58,150533.72,-0.0134
2008-05-21,0,0.0,0,NORMAL,18.59,150533.72,-0.0134
2008-05-22,0,0.0,0,NORMAL,18.05,150533.72,-0.0134
