date,vix,peak_10d,off_peak_%,is_trap_5TD_45,year
2008-10-13,54.9900016784668,69.94999694824219,21.386698959893703,True,2008
2008-10-14,55.130001068115234,69.94999694824219,21.186556864459405,True,2008
2008-10-20,52.970001220703125,70.33000183105469,24.683634520660767,True,2008
2008-10-21,53.11000061035156,70.33000183105469,24.484573826784008,True,2008
2008-10-28,66.95999908447266,80.05999755859375,16.36272654709183,True,2008
2008-10-30,62.900001525878906,80.05999755859375,21.433920254813778,True,2008
2008-10-31,59.88999938964844,80.05999755859375,25.19360327757122,True,2008
2008-11-03,53.68000030517578,80.05999755859375,32.95028485869133,True,2008
2008-11-04,47.72999954223633,80.05999755859375,40.38221209374379,True,2008
2008-11-05,54.560001373291016,80.05999755859375,31.851107872742535,True,2008
2008-11-06,63.68000030517578,80.05999755859375,20.459652451812648,True,2008
2008-11-07,56.099998474121094,80.05999755859375,29.92755410332979,True,2008
2008-11-24,64.69999694824219,80.86000061035156,19.985163913096237,True,2008
2008-11-25,60.900001525878906,80.86000061035156,24.68463880016025,True,2008
2008-11-26,54.91999816894531,80.86000061035156,32.08014128815806,True,2008
2008-11-28,55.279998779296875,80.86000061035156,31.634926586656466,True,2008
2008-12-01,68.51000213623047,80.86000061035156,15.273309894756625,True,2008
2008-12-02,62.97999954223633,80.86000061035156,22.11229400587744,True,2008
2008-12-03,60.720001220703125,80.86000061035156,24.907246150911043,True,2008
2008-12-04,63.63999938964844,80.86000061035156,21.296068625676767,True,2008
2008-12-05,59.93000030517578,72.66999816894531,17.531303405500598,True,2008
2008-12-10,55.72999954223633,68.51000213623047,18.65421426871571,True,2008
2008-12-11,55.779998779296875,68.51000213623047,18.581233338192416,True,2008
2008-12-12,54.279998779296875,68.51000213623047,20.77069466241963,True,2008
2008-12-16,52.369998931884766,63.63999938964844,17.708988946968518,True,2008
2008-12-17,49.84000015258789,63.63999938964844,21.684474181980008,True,2008
2008-12-18,47.34000015258789,59.93000030517578,21.007842630530693,True,2008
2008-12-19,44.93000030517578,58.90999984741211,23.731114544979015,True,2008
2008-12-22,44.560001373291016,58.90999984741211,24.35918946068625,True,2008
2008-12-23,45.02000045776367,56.7599983215332,20.68357683392619,False,2008
2008-12-24,44.209999084472656,56.7599983215332,22.110640606378272,False,2008
2008-12-26,43.380001068115234,56.7599983215332,23.572934547360546,False,2008
2008-12-29,43.900001525878906,56.7599983215332,22.656795588338774,False,2008
2008-12-30,41.630001068115234,52.369998931884766,20.507920723348782,False,2008
2008-12-31,40.0,49.84000015258789,19.743178415855123,False,2008
2009-01-21,46.41999816894531,56.650001525878906,18.05825786652506,True,2009
2009-01-22,47.290000915527344,56.650001525878906,16.52250725196489,True,2009
2009-01-23,47.27000045776367,56.650001525878906,16.55781256039376,True,2009
2009-01-26,45.689998626708984,56.650001525878906,19.346871322083125,True,2009
2009-01-27,42.25,56.650001525878906,25.41924296206891,True,2009
2009-01-29,42.630001068115234,56.650001525878906,24.748455569518455,True,2009
2009-01-30,44.84000015258789,56.650001525878906,20.84730989441538,True,2009
2009-02-02,45.52000045776367,56.650001525878906,19.646956343029963,False,2009
2009-02-25,44.66999816894531,52.619998931884766,15.1083255878255,True,2009
2009-02-26,44.65999984741211,52.619998931884766,15.127326579342338,True,2009
2009-03-10,44.369998931884766,52.650001525878906,15.72650019758175,False,2009
2009-03-11,43.61000061035156,52.650001525878906,17.169991744604108,False,2009
2009-03-12,41.18000030517578,52.650001525878906,21.785376805858792,False,2009
2009-03-13,42.36000061035156,52.650001525878906,19.544160716632707,True,2009
2009-03-17,40.79999923706055,50.16999816894531,18.676498452983193,True,2009
2009-03-18,40.060001373291016,50.16999816894531,20.15147929965897,True,2009
2020-03-13,57.83000183105469,75.47000122070312,23.37352471753954,True,2020
2020-03-20,66.04000091552734,82.69000244140625,20.13544689114869,True,2020
2020-03-23,61.59000015258789,82.69000244140625,25.516993186412982,True,2020
2020-03-24,61.66999816894531,82.69000244140625,25.420248702200265,True,2020
2020-03-25,63.95000076293945,82.69000244140625,22.662959396749173,True,2020
2020-03-26,61.0,82.69000244140625,26.23050163382893,True,2020
2020-03-27,65.54000091552734,82.69000244140625,20.74011491054353,True,2020
2020-03-30,57.08000183105469,76.44999694824219,25.33681607639734,True,2020
2020-03-31,53.540000915527344,76.44999694824219,29.967294895021723,True,2020
2020-04-01,57.060001373291016,72.0,20.749998092651367,True,2020
2020-04-02,50.90999984741211,66.04000091552734,22.910358658941,True,2020
2020-04-03,46.79999923706055,65.54000091552734,28.593227672700607,True,2020
2020-04-06,45.2400016784668,65.54000091552734,30.97344973068378,True,2020
2020-04-07,46.70000076293945,65.54000091552734,28.74580392037259,False,2020
2020-04-08,43.349998474121094,65.54000091552734,33.85718970313461,False,2020
2020-04-09,41.66999816894531,65.54000091552734,36.42051024281706,False,2020
2020-04-13,41.16999816894531,57.08000183105469,27.873165998136763,False,2020
2020-04-15,40.84000015258789,57.060001373291016,28.426219471308112,True,2020
2020-04-16,40.11000061035156,50.90999984741211,21.21390545949793,True,2020
2025-04-10,40.720001220703125,52.33000183105469,22.18612689491963,False,2025
