date,main,aftermath,dd_overlay,hv_ladder,portfolio_total
2007-01-03,243.48,0.00,0.00,36.74,280.23
2007-01-04,243.48,0.00,0.00,36.74,280.23
2007-01-05,243.48,0.00,0.00,36.74,280.23
2007-01-08,243.48,0.00,0.00,36.74,280.23
2007-01-09,243.48,0.00,0.00,36.74,280.23
2007-01-10,243.48,0.00,0.00,74.04,317.53
2007-01-11,243.48,0.00,0.00,74.04,317.53
2007-01-12,243.48,0.00,0.00,74.04,317.53
2007-01-16,243.48,0.00,0.00,74.04,317.53
2007-01-17,243.48,0.00,0.00,74.04,317.53
2007-01-18,243.48,0.00,0.00,102.39,345.87
2007-01-19,243.48,0.00,0.00,102.39,345.87
2007-01-22,243.48,0.00,0.00,102.39,345.87
2007-01-23,243.48,0.00,0.00,102.39,345.87
2007-01-24,243.48,0.00,0.00,102.39,345.87
2007-01-25,243.48,0.00,0.00,73.66,317.15
2007-01-26,243.48,0.00,0.00,73.66,317.15
2007-01-29,243.48,0.00,0.00,73.66,317.15
2007-01-30,243.48,0.00,0.00,73.66,317.15
2007-01-31,243.48,0.00,0.00,73.66,317.15
2007-02-01,243.48,0.00,0.00,73.66,317.15
2007-02-02,243.48,0.00,0.00,-13.21,230.27
2007-02-05,243.48,0.00,0.00,-49.96,193.52
2007-02-06,243.48,0.00,0.00,-49.96,193.52
2007-02-07,30.94,0.00,0.00,-49.96,-19.02
2007-02-08,-212.54,0.00,0.00,-87.26,-299.80
2007-02-09,-212.54,0.00,0.00,-78.71,-291.25
2007-02-12,-212.54,0.00,0.00,-78.71,-291.25
2007-02-13,-212.54,0.00,0.00,-78.71,-291.25
2007-02-14,-212.54,0.00,0.00,-78.71,-291.25
2007-02-15,-212.54,0.00,0.00,-78.71,-291.25
2007-02-16,-212.54,0.00,0.00,-78.71,-291.25
2007-02-20,-212.54,0.00,0.00,-78.71,-291.25
2007-02-21,-212.54,0.00,0.00,-78.71,-291.25
2007-02-22,-212.54,0.00,0.00,-91.47,-304.01
2007-02-23,-212.54,0.00,0.00,-119.82,-332.36
2007-02-26,-212.54,0.00,0.00,-119.82,-332.36
2007-02-27,-212.54,0.00,0.00,-119.82,-332.36
2007-02-28,0.00,0.00,22.09,-119.82,-97.72
2007-03-01,0.00,0.00,22.09,-119.82,-97.72
2007-03-02,0.00,0.00,22.09,-119.82,-97.72
2007-03-05,0.00,0.00,22.09,-119.82,-97.72
2007-03-06,0.00,0.00,22.09,-119.82,-97.72
2007-03-07,0.00,0.00,22.09,-119.82,-97.72
2007-03-08,0.00,0.00,22.09,-91.09,-69.00
2007-03-09,0.00,0.00,22.09,-91.09,-69.00
2007-03-12,0.00,0.00,22.09,-91.09,-69.00
2007-03-13,41.68,0.00,22.09,-91.09,-27.33
2007-03-14,41.68,0.00,22.09,-91.09,-27.33
2007-03-15,41.68,0.00,22.09,-91.09,-27.33
2007-03-16,41.68,0.00,22.09,-4.21,59.55
