bucket,description,n,avg_pnl,win_rate,sharpe,max_consec_loss,avg_hold_days,low_n_flag
ivp_double_low,ivp252 < 50 AND ivp63 < 50,13,572.0,0.692,0.63,2,13.1,False
ivp_regime_decay,ivp252 >= 50 AND ivp63 < 50,0,,,,0,,True
ivp_local_spike,ivp63 >= 50 AND ivp252 < 50,11,2299.0,0.818,3.91,1,12.9,False
ivp_both_high,ivp63 >= 50 AND ivp252 >= 50,0,,,,0,,True
regime_low_vol,regime == LOW_VOL,0,,,,0,,True
regime_normal,regime == NORMAL,24,1364.0,0.75,1.7,2,13.0,False
regime_high_vol,regime == HIGH_VOL,0,,,,0,,True
trend_bullish,trend == BULLISH,24,1364.0,0.75,1.7,2,13.0,False
trend_neutral,trend == NEUTRAL,0,,,,0,,True
trend_bearish,trend == BEARISH,0,,,,0,,True
