cell_id,vix_regime,iv_bucket,trend,selector_verdict,selector_reason,payoff_type,canonical_strategy,canonical_key,gated,consistent
LOW_VOL|HIGH|BULLISH,LOW_VOL,HIGH,BULLISH,Reduce / Wait,LOW_VOL + BULLISH but IV=HIGH (IVP=72) — vol expansion signal in low-vol regime; DIAGONAL short leg exposed,WAIT,Bull Call Diagonal,bull_call_diagonal,True,True
LOW_VOL|HIGH|NEUTRAL,LOW_VOL,HIGH,NEUTRAL,Reduce / Wait,LOW_VOL + NEUTRAL but IVP=72 outside 20–50 — Iron Condor risk/reward unfavourable,WAIT,Iron Condor,iron_condor,True,True
LOW_VOL|HIGH|BEARISH,LOW_VOL,HIGH,BEARISH,Reduce / Wait,LOW_VOL + BEARISH — 低波动环境中的方向性看跌无统计边际；V型反转概率高，等待趋势确认,WAIT,Reduce / Wait,reduce_wait,True,True
LOW_VOL|NEUTRAL|BULLISH,LOW_VOL,NEUTRAL,BULLISH,Bull Call Diagonal,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,DEBIT,Bull Call Diagonal,bull_call_diagonal,False,True
LOW_VOL|NEUTRAL|NEUTRAL,LOW_VOL,NEUTRAL,NEUTRAL,Iron Condor,LOW_VOL + NEUTRAL — range-bound market; 16-delta wings give ~70% PoP,CREDIT,Iron Condor,iron_condor,False,True
LOW_VOL|NEUTRAL|BEARISH,LOW_VOL,NEUTRAL,BEARISH,Reduce / Wait,LOW_VOL + BEARISH — 低波动环境中的方向性看跌无统计边际；V型反转概率高，等待趋势确认,WAIT,Reduce / Wait,reduce_wait,True,True
LOW_VOL|LOW|BULLISH,LOW_VOL,LOW,BULLISH,Bull Call Diagonal,LOW_VOL + BULLISH — theta is cheap; use 45 DTE short leg to widen collection window,DEBIT,Bull Call Diagonal,bull_call_diagonal,False,True
LOW_VOL|LOW|NEUTRAL,LOW_VOL,LOW,NEUTRAL,Iron Condor,LOW_VOL + NEUTRAL — range-bound market; 16-delta wings give ~70% PoP,CREDIT,Iron Condor,iron_condor,False,True
LOW_VOL|LOW|BEARISH,LOW_VOL,LOW,BEARISH,Reduce / Wait,LOW_VOL + BEARISH — 低波动环境中的方向性看跌无统计边际；V型反转概率高，等待趋势确认,WAIT,Reduce / Wait,reduce_wait,True,True
NORMAL|HIGH|BULLISH,NORMAL,HIGH,BULLISH,Reduce / Wait,NORMAL + IV HIGH + BULLISH — no strategy has statistically significant alpha in this cell; REDUCE_WAIT (SPEC-060),WAIT,Bull Put Spread,bull_put_spread,True,True
NORMAL|HIGH|NEUTRAL,NORMAL,HIGH,NEUTRAL,Iron Condor,NORMAL + IV HIGH + NEUTRAL — rich premium + no directional edge: Iron Condor,CREDIT,Iron Condor,iron_condor,False,True
NORMAL|HIGH|BEARISH,NORMAL,HIGH,BEARISH,Iron Condor,NORMAL + IV HIGH + BEARISH + VIX stable — MA50 lag means downtrend confirmed; IC collects from both sides without directional bet,CREDIT,Iron Condor,iron_condor,False,True
NORMAL|NEUTRAL|BULLISH,NORMAL,NEUTRAL,BULLISH,Bull Put Spread,NORMAL + IV NEUTRAL + BULLISH — uptrend with moderate premium: Bull Put Spread,CREDIT,Bull Put Spread,bull_put_spread,False,True
NORMAL|NEUTRAL|NEUTRAL,NORMAL,NEUTRAL,NEUTRAL,Iron Condor,NORMAL + IV NEUTRAL + NEUTRAL — no directional edge: Iron Condor is the default,CREDIT,Iron Condor,iron_condor,False,True
NORMAL|NEUTRAL|BEARISH,NORMAL,NEUTRAL,BEARISH,Iron Condor,NORMAL + IV NEUTRAL + BEARISH + VIX stable — MA50 lag means downtrend confirmed; IC collects from both sides without directional bet,CREDIT,Iron Condor,iron_condor,False,True
NORMAL|LOW|BULLISH,NORMAL,LOW,BULLISH,Reduce / Wait,NORMAL + IV LOW + BULLISH — thin premium (IVP<40) makes Diagonal risk/reward unfavourable; wait for IV to expand,WAIT,Reduce / Wait,reduce_wait,True,True
