start_date,end_date,peak_vix,entry_vix,duration_days
2007-08-20,2007-08-30,30.829999923706055,26.329999923706055,11
2007-11-13,2007-11-14,31.09000015258789,24.100000381469727,2
2007-11-16,2007-11-23,31.09000015258789,25.489999771118164,8
2007-11-28,2007-12-07,28.90999984741211,24.110000610351562,10
2008-01-24,2008-01-24,31.010000228881836,27.780000686645508,1
2008-01-28,2008-02-04,31.010000228881836,27.780000686645508,8
2008-02-13,2008-02-22,28.969999313354492,24.8799991607666,10
2008-03-11,2008-03-11,29.3799991607666,26.360000610351562,1
2008-03-18,2008-03-18,32.2400016784668,25.790000915527344,1
2008-03-20,2008-04-02,32.2400016784668,26.6200008392334,14
2008-07-16,2008-07-28,28.540000915527344,25.100000381469727,13
2008-09-19,2008-09-19,36.220001220703125,32.06999969482422,1
2008-09-30,2008-10-01,46.720001220703125,39.38999938964844,2
2009-01-02,2009-01-06,47.34000015258789,39.189998626708984,5
2009-01-28,2009-01-28,56.650001525878906,39.65999984741211,1
2009-04-03,2009-04-03,45.540000915527344,39.70000076293945,1
2009-04-08,2009-04-17,45.540000915527344,38.849998474121094,10
2009-05-05,2009-05-12,38.31999969482422,33.36000061035156,8
2009-05-14,2009-05-14,35.29999923706055,31.3700008392334,1
2009-05-18,2009-05-20,33.650001525878906,30.239999771118164,3
2009-05-29,2009-05-29,33.119998931884766,28.920000076293945,1
2009-06-09,2009-06-10,32.36000061035156,28.270000457763672,2
2009-06-19,2009-06-19,32.68000030517578,27.989999771118164,1
2009-06-24,2009-07-02,32.68000030517578,29.049999237060547,9
2009-07-13,2009-07-23,31.299999237060547,26.309999465942383,11
2009-09-04,2009-09-16,29.149999618530273,25.260000228881836,13
2009-10-06,2009-10-15,28.68000030517578,25.700000762939453,10
2009-11-05,2009-11-16,30.690000534057617,25.43000030517578,12
2010-05-10,2010-05-19,40.95000076293945,28.84000015258789,10
2010-05-24,2010-06-04,45.790000915527344,38.31999969482422,12
2010-06-10,2010-06-23,36.56999969482422,30.56999969482422,14
2010-07-02,2010-07-19,34.540000915527344,30.1200008392334,18
2011-03-17,2011-03-29,29.399999618530273,26.3700008392334,13
2011-08-09,2011-08-09,48.0,35.060001373291016,1
2011-08-11,2011-08-17,48.0,39.0,7
2011-08-23,2011-08-24,43.04999923706055,36.27000045776367,2
2011-08-26,2011-09-02,43.04999923706055,35.59000015258789,8
2011-09-07,2011-09-08,39.7599983215332,33.380001068115234,2
2011-09-14,2011-09-20,38.59000015258789,34.599998474121094,7
2011-10-05,2011-10-18,45.45000076293945,37.810001373291016,14
2011-10-24,2011-10-24,34.779998779296875,29.260000228881836,1
2011-10-26,2011-10-31,34.779998779296875,29.860000610351562,6
2011-11-03,2011-11-08,34.77000045776367,30.5,6
2011-11-11,2011-11-15,36.15999984741211,30.040000915527344,5
2011-11-18,2011-11-18,36.15999984741211,32.0,1
2011-11-22,2011-11-22,36.15999984741211,31.969999313354492,1
2011-11-29,2011-12-21,34.5099983215332,30.639999389648438,23
2015-08-25,2015-09-15,40.7400016784668,36.02000045776367,22
2016-02-16,2016-02-25,28.139999389648438,24.110000610351562,10
2018-02-06,2018-02-23,37.31999969482422,29.979999542236328,18
2018-12-26,2019-01-11,36.06999969482422,30.40999984741211,17
2020-03-02,2020-03-02,40.11000061035156,33.41999816894531,1
2020-03-04,2020-03-04,40.11000061035156,31.989999771118164,1
2020-04-14,2020-04-14,57.060001373291016,37.7599983215332,1
2020-04-17,2020-04-17,46.79999923706055,38.150001525878906,1
2020-04-24,2020-05-12,45.40999984741211,35.93000030517578,19
2020-05-14,2020-05-29,37.189998626708984,32.61000061035156,16
2020-06-02,2020-06-05,30.530000686645508,26.84000015258789,4
2020-06-12,2020-06-25,40.790000915527344,36.09000015258789,14
2020-06-30,2020-07-10,35.119998931884766,30.43000030517578,11
2020-07-15,2020-07-27,32.189998626708984,27.760000228881836,13
2020-07-29,2020-07-29,28.0,24.100000381469727,1
2020-09-09,2020-09-21,33.599998474121094,28.809999465942383,13
2020-10-08,2020-10-14,29.479999542236328,26.360000610351562,7
2020-11-03,2020-11-17,40.279998779296875,35.54999923706055,15
2021-01-28,2021-02-12,37.209999084472656,30.209999084472656,16
2021-03-01,2021-03-02,28.889999389648438,23.350000381469727,2
2021-03-05,2021-03-17,28.889999389648438,24.65999984741211,13
2021-11-29,2021-11-29,28.6200008392334,22.959999084472656,1
2021-12-02,2021-12-02,31.1200008392334,27.950000762939453,1
2021-12-06,2021-12-16,31.1200008392334,27.18000030517578,11
2022-01-28,2022-02-09,31.959999084472656,27.65999984741211,13
2022-02-16,2022-02-16,28.329999923706055,24.290000915527344,1
2022-02-25,2022-02-25,31.020000457763672,27.59000015258789,1
2022-03-09,2022-03-28,36.45000076293945,32.45000076293945,20
2022-04-28,2022-04-28,33.52000045776367,29.989999771118164,1
2022-05-03,2022-05-04,33.52000045776367,29.25,2
2022-05-13,2022-05-23,34.75,28.8700008392334,11
2022-05-25,2022-06-08,31.770000457763672,28.3700008392334,15
2022-06-15,2022-06-15,34.02000045776367,29.6200008392334,1
2022-06-21,2022-07-01,34.02000045776367,30.190000534057617,11
2022-07-07,2022-07-08,29.049999237060547,26.079999923706055,2
2022-10-04,2022-10-05,32.599998474121094,29.06999969482422,2
2022-10-20,2022-11-07,33.630001068115234,29.979999542236328,19
2024-08-06,2024-08-16,38.56999969482422,27.709999084472656,11
2025-04-09,2025-04-09,52.33000183105469,33.619998931884766,1
2025-04-11,2025-05-06,52.33000183105469,37.560001373291016,26
2026-03-09,2026-03-11,29.489999771118164,25.5,3
2026-03-16,2026-03-19,29.489999771118164,23.510000228881836,4
2026-03-31,2026-04-13,31.049999237060547,25.25,14
